freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.776e+02,9.741e+00,1.372e+01,4.011e+02
1.5,2.469e+02,2.458e+01,3.068e+01,3.021e+02
3.0,4.303e+01,2.554e+01,3.003e+01,9.860e+01
4.4,2.524e+02,2.776e+01,2.863e+01,3.088e+02
5.9,1.018e+03,2.911e+01,2.945e+01,1.077e+03
7.4,1.714e+03,4.036e+01,3.553e+01,1.790e+03
8.9,2.474e+03,3.578e+01,3.677e+01,2.547e+03
10.3,3.393e+03,2.760e+01,3.425e+01,3.455e+03
11.8,4.539e+03,2.981e+01,3.721e+01,4.606e+03
13.3,5.907e+03,2.949e+01,3.444e+01,5.971e+03
14.8,7.705e+03,2.698e+01,3.193e+01,7.764e+03
16.3,9.396e+03,2.761e+01,3.318e+01,9.457e+03
17.7,1.028e+04,2.856e+01,3.273e+01,1.034e+04
19.2,1.216e+04,3.204e+01,3.830e+01,1.223e+04
20.7,1.423e+04,3.752e+01,4.645e+01,1.431e+04
22.2,1.723e+04,5.082e+01,4.559e+01,1.733e+04
23.7,2.140e+04,8.039e+01,3.932e+01,2.152e+04
25.1,2.403e+04,1.160e+02,3.607e+01,2.418e+04
26.6,2.543e+04,1.029e+02,3.161e+01,2.556e+04
28.1,2.965e+04,1.096e+02,3.563e+01,2.979e+04
29.6,3.576e+04,1.555e+02,4.572e+01,3.596e+04
31.0,4.464e+04,2.336e+02,5.115e+01,4.493e+04
32.5,5.371e+04,2.382e+02,5.280e+01,5.400e+04
34.0,6.101e+04,1.497e+02,6.358e+01,6.122e+04
35.5,7.360e+04,9.385e+01,1.042e+02,7.380e+04
37.0,9.532e+04,9.370e+01,2.215e+02,9.563e+04
38.4,1.247e+05,1.605e+02,4.769e+02,1.254e+05
39.9,1.635e+05,5.602e+02,7.194e+02,1.648e+05
41.4,2.022e+05,1.636e+03,6.625e+02,2.045e+05
42.9,2.554e+05,3.933e+03,5.085e+02,2.598e+05
44.3,3.420e+05,7.440e+03,4.240e+02,3.499e+05
45.8,4.873e+05,1.170e+04,7.223e+02,4.997e+05
47.3,7.231e+05,1.385e+04,2.201e+03,7.392e+05
48.8,1.052e+06,1.148e+04,4.858e+03,1.069e+06
50.3,1.281e+06,6.223e+03,1.036e+04,1.298e+06
51.7,1.103e+06,3.076e+03,1.496e+04,1.121e+06
53.2,7.639e+05,2.793e+03,1.345e+04,7.802e+05
54.7,5.373e+05,3.132e+03,9.690e+03,5.501e+05
56.2,3.752e+05,3.703e+03,5.540e+03,3.844e+05
57.7,2.515e+05,4.050e+03,2.983e+03,2.585e+05
59.1,1.812e+05,3.968e+03,3.393e+03,1.885e+05
60.6,1.459e+05,3.417e+03,5.262e+03,1.546e+05
62.1,1.188e+05,3.227e+03,5.553e+03,1.275e+05
63.6,1.063e+05,3.434e+03,3.971e+03,1.137e+05
65.0,1.043e+05,3.082e+03,3.084e+03,1.104e+05
66.5,1.240e+05,2.381e+03,3.528e+03,1.299e+05
68.0,2.059e+05,2.254e+03,3.218e+03,2.114e+05
69.5,2.879e+05,2.131e+03,2.089e+03,2.921e+05
71.0,3.251e+05,1.777e+03,1.780e+03,3.287e+05
72.4,3.159e+05,1.208e+03,3.335e+03,3.205e+05
73.9,2.917e+05,8.463e+02,5.882e+03,2.985e+05
75.4,2.699e+05,1.224e+03,8.065e+03,2.792e+05
76.9,2.457e+05,1.805e+03,8.783e+03,2.563e+05
78.3,2.358e+05,2.308e+03,8.120e+03,2.462e+05
79.8,2.150e+05,2.518e+03,6.934e+03,2.244e+05
81.3,1.882e+05,2.415e+03,5.909e+03,1.965e+05
82.8,1.718e+05,2.293e+03,5.404e+03,1.795e+05
84.3,1.563e+05,2.304e+03,5.002e+03,1.636e+05
85.7,1.411e+05,2.529e+03,4.660e+03,1.483e+05
87.2,1.240e+05,2.590e+03,4.155e+03,1.308e+05
88.7,1.125e+05,3.957e+03,5.404e+03,1.219e+05
90.2,1.253e+05,7.402e+03,9.659e+03,1.423e+05
91.7,1.428e+05,7.682e+03,1.021e+04,1.607e+05
93.1,1.416e+05,8.044e+03,1.028e+04,1.599e+05
94.6,1.394e+05,8.084e+03,1.098e+04,1.584e+05
96.1,1.458e+05,1.025e+04,1.222e+04,1.683e+05
97.6,1.545e+05,1.337e+04,1.375e+04,1.816e+05
99.0,1.513e+05,1.487e+04,1.442e+04,1.806e+05
100.5,1.450e+05,1.532e+04,1.442e+04,1.747e+05
102.0,1.383e+05,1.518e+04,1.430e+04,1.678e+05
103.5,1.379e+05,1.680e+04,1.501e+04,1.697e+05
105.0,1.318e+05,1.726e+04,1.495e+04,1.640e+05
106.4,1.257e+05,1.589e+04,1.443e+04,1.560e+05
107.9,1.253e+05,1.501e+04,1.483e+04,1.551e+05
109.4,1.312e+05,1.572e+04,1.555e+04,1.624e+05
110.9,1.332e+05,1.734e+04,1.634e+04,1.668e+05
112.4,1.263e+05,1.650e+04,1.661e+04,1.595e+05
113.8,1.188e+05,1.359e+04,1.615e+04,1.485e+05
115.3,1.158e+05,1.131e+04,1.616e+04,1.433e+05
116.8,1.183e+05,1.007e+04,1.662e+04,1.450e+05
118.3,1.221e+05,9.482e+03,1.677e+04,1.484e+05
119.7,1.220e+05,9.621e+03,1.628e+04,1.479e+05
121.2,8.692e+04,6.700e+03,1.127e+04,1.049e+05
122.7,6.883e+04,5.284e+03,8.397e+03,8.251e+04
124.2,7.728e+04,6.568e+03,9.459e+03,9.331e+04
125.7,8.616e+04,8.572e+03,1.106e+04,1.058e+05
