freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.287e+01,5.531e+02,4.339e+02,9.999e+02
1.5,5.394e+01,3.877e+02,1.593e+03,2.035e+03
3.0,6.437e+01,1.131e+02,1.744e+03,1.922e+03
4.4,6.102e+01,3.254e+02,1.647e+03,2.033e+03
5.9,6.001e+01,1.187e+03,1.616e+03,2.863e+03
7.4,6.128e+01,2.050e+03,1.570e+03,3.681e+03
8.9,6.199e+01,2.889e+03,1.559e+03,4.511e+03
10.3,5.679e+01,4.173e+03,1.126e+03,5.355e+03
11.8,6.471e+01,6.065e+03,2.232e+03,8.362e+03
13.3,7.675e+01,7.161e+03,2.559e+03,9.797e+03
14.8,7.651e+01,8.642e+03,2.032e+03,1.075e+04
16.3,8.591e+01,1.175e+04,1.654e+03,1.349e+04
17.7,9.201e+01,1.565e+04,7.928e+02,1.654e+04
19.2,1.033e+02,2.073e+04,8.801e+02,2.172e+04
20.7,1.324e+02,2.600e+04,1.497e+03,2.763e+04
22.2,1.360e+02,2.917e+04,1.387e+03,3.069e+04
23.7,2.179e+02,3.377e+04,1.746e+03,3.574e+04
25.1,3.642e+02,4.081e+04,2.002e+03,4.318e+04
26.6,2.986e+02,5.564e+04,2.358e+03,5.829e+04
28.1,2.577e+02,7.957e+04,1.666e+03,8.149e+04
29.6,4.662e+02,1.159e+05,1.757e+03,1.181e+05
31.0,7.949e+02,1.811e+05,3.009e+03,1.849e+05
32.5,8.103e+02,2.851e+05,6.049e+03,2.919e+05
34.0,4.783e+02,4.607e+05,1.354e+04,4.747e+05
35.5,9.478e+02,7.899e+05,2.793e+04,8.188e+05
37.0,2.956e+03,1.200e+06,4.164e+04,1.245e+06
38.4,4.328e+03,1.375e+06,4.774e+04,1.428e+06
39.9,4.244e+03,1.109e+06,5.320e+04,1.166e+06
41.4,3.650e+03,7.384e+05,4.486e+04,7.869e+05
42.9,3.762e+03,5.200e+05,3.919e+04,5.630e+05
44.3,3.771e+03,4.202e+05,4.081e+04,4.648e+05
45.8,4.100e+03,3.630e+05,4.778e+04,4.149e+05
47.3,4.078e+03,3.081e+05,5.457e+04,3.667e+05
48.8,3.116e+03,2.596e+05,5.392e+04,3.166e+05
50.3,1.910e+03,2.270e+05,6.154e+04,2.905e+05
51.7,1.174e+03,1.934e+05,7.333e+04,2.679e+05
53.2,8.226e+02,1.505e+05,6.356e+04,2.148e+05
54.7,6.611e+02,1.244e+05,5.998e+04,1.850e+05
56.2,6.232e+02,1.071e+05,7.346e+04,1.812e+05
57.7,4.918e+02,8.300e+04,7.782e+04,1.613e+05
59.1,4.895e+02,6.330e+04,7.653e+04,1.403e+05
60.6,6.743e+02,4.961e+04,7.171e+04,1.220e+05
62.1,8.013e+02,3.916e+04,6.859e+04,1.085e+05
63.6,6.631e+02,2.906e+04,6.997e+04,9.970e+04
65.0,3.577e+02,2.319e+04,5.978e+04,8.332e+04
66.5,1.696e+02,2.163e+04,4.714e+04,6.894e+04
68.0,1.585e+02,2.139e+04,3.812e+04,5.967e+04
69.5,3.200e+02,2.169e+04,3.047e+04,5.248e+04
71.0,6.564e+02,2.254e+04,2.538e+04,4.857e+04
72.4,7.716e+02,2.261e+04,1.969e+04,4.307e+04
73.9,8.031e+02,2.265e+04,1.350e+04,3.696e+04
75.4,8.325e+02,2.325e+04,9.678e+03,3.376e+04
76.9,7.514e+02,2.363e+04,7.657e+03,3.204e+04
78.4,6.882e+02,2.366e+04,5.028e+03,2.938e+04
79.8,5.784e+02,2.272e+04,2.420e+03,2.572e+04
81.3,5.908e+02,2.210e+04,2.275e+03,2.497e+04
82.8,7.645e+02,2.225e+04,2.229e+03,2.525e+04
84.3,8.042e+02,2.174e+04,2.198e+03,2.475e+04
85.7,7.687e+02,1.851e+04,2.719e+03,2.200e+04
87.2,8.147e+02,1.323e+04,3.096e+03,1.714e+04
88.7,1.303e+03,8.963e+03,5.161e+03,1.543e+04
90.2,1.277e+03,6.549e+03,7.540e+03,1.537e+04
91.7,8.654e+02,2.881e+03,6.202e+03,9.949e+03
93.1,1.151e+03,2.663e+03,6.648e+03,1.046e+04
94.6,1.970e+03,4.837e+03,8.802e+03,1.561e+04
96.1,1.461e+03,5.527e+03,9.790e+03,1.678e+04
97.6,7.944e+02,6.005e+03,9.679e+03,1.648e+04
99.0,5.979e+02,7.051e+03,9.734e+03,1.738e+04
100.5,4.921e+02,7.905e+03,9.479e+03,1.788e+04
102.0,4.578e+02,7.809e+03,8.663e+03,1.693e+04
103.5,2.985e+02,7.267e+03,7.668e+03,1.523e+04
